x,y
4.600000000000000000e+02,8.540000000000000000e+02
2.240000000000000000e+02,1.109000000000000000e+03
7.120000000000000000e+02,5.300000000000000000e+01
3.660000000000000000e+02,3.790000000000000000e+02
6.550000000000000000e+02,1.265000000000000000e+03
7.050000000000000000e+02,1.120000000000000000e+02
4.350000000000000000e+02,6.300000000000000000e+01
7.930000000000000000e+02,3.300000000000000000e+01
8.010000000000000000e+02,6.300000000000000000e+01
6.790000000000000000e+02,5.250000000000000000e+02
5.850000000000000000e+02,1.114000000000000000e+03
3.030000000000000000e+02,2.040000000000000000e+02
6.040000000000000000e+02,6.900000000000000000e+01
3.560000000000000000e+02,4.410000000000000000e+02
4.550000000000000000e+02,5.010000000000000000e+02
3.480000000000000000e+02,5.460000000000000000e+02
8.500000000000000000e+02,1.299000000000000000e+03
6.210000000000000000e+02,1.250000000000000000e+02
2.990000000000000000e+02,3.430000000000000000e+02
6.110000000000000000e+02,7.020000000000000000e+02
6.930000000000000000e+02,3.890000000000000000e+02
8.110000000000000000e+02,1.220000000000000000e+03
5.390000000000000000e+02,6.580000000000000000e+02
8.120000000000000000e+02,8.790000000000000000e+02
3.730000000000000000e+02,4.100000000000000000e+02
3.810000000000000000e+02,1.850000000000000000e+02
7.590000000000000000e+02,1.068000000000000000e+03
1.980000000000000000e+02,1.148000000000000000e+03
7.100000000000000000e+02,1.215000000000000000e+03
7.400000000000000000e+01,3.480000000000000000e+02
4.390000000000000000e+02,1.337000000000000000e+03
6.990000000000000000e+02,3.170000000000000000e+02
1.570000000000000000e+02,3.390000000000000000e+02
5.480000000000000000e+02,1.200000000000000000e+02
6.830000000000000000e+02,6.730000000000000000e+02
6.490000000000000000e+02,5.690000000000000000e+02
8.300000000000000000e+02,1.307000000000000000e+03
4.370000000000000000e+02,7.340000000000000000e+02
5.390000000000000000e+02,6.020000000000000000e+02
6.700000000000000000e+02,6.040000000000000000e+02
5.900000000000000000e+01,4.770000000000000000e+02
6.570000000000000000e+02,6.390000000000000000e+02
1.930000000000000000e+02,1.325000000000000000e+03
2.060000000000000000e+02,8.990000000000000000e+02
6.340000000000000000e+02,8.200000000000000000e+02
7.330000000000000000e+02,1.289000000000000000e+03
4.780000000000000000e+02,1.086000000000000000e+03
3.780000000000000000e+02,2.200000000000000000e+02
7.720000000000000000e+02,4.910000000000000000e+02
2.880000000000000000e+02,6.740000000000000000e+02
4.240000000000000000e+02,5.450000000000000000e+02
6.290000000000000000e+02,4.600000000000000000e+01
4.110000000000000000e+02,7.960000000000000000e+02
3.500000000000000000e+01,3.440000000000000000e+02
